Pattern,Destination
^(.*)orgoniet(.*)$,https://www.phoeniximport.com/nl/3/mineralen-en-edelstenen/orgoniet-producten.aspx
^(.*)armband(.*)$,https://www.phoeniximport.com/nl/3/sieraden/armbanden.aspx
^(.*)halsketting(.*)$,https://www.phoeniximport.com/nl/3/sieraden/hangers-en-halskettingen.aspx
^(.*)oorbellen(.*)$,https://www.phoeniximport.com/nl/3/sieraden/oorbellen.aspx
^(.*)ring(.*)$,https://www.phoeniximport.com/nl/3/sieraden/ringen.aspx
^(.*)sierraad(.*)$,https://www.phoeniximport.com/nl/3/sieraden.aspx
^(.*)sieraad(.*)$,https://www.phoeniximport.com/nl/3/sieraden.aspx
^(.*)beschermingshanger(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/beschermingshangers.aspx
^(.*)meridiaankogel(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/meridiaankogels.aspx
^(.*)deurkleed(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/kathas-altaar-en-deurkleden.aspx
^(.*)katha(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/kathas-altaar-en-deurkleden.aspx
^(.*)altaar(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/kathas-altaar-en-deurkleden.aspx
^(.*)pendel(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/pendels-en-wichelroedes.aspx
^(.*)thangka(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/thangkas.aspx
^(.*)tibetaans(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/tibetaanse-producten.aspx
^(.*)wicca(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/wicca-en-tarot.aspx
^(.*)tarot(.*)$,https://www.phoeniximport.com/nl/3/spiritualiteit/wicca-en-tarot.aspx
^(.*)notitieboek(.*)$,https://www.phoeniximport.com/nl/3/stationery-en-meer/notitieboeken-en-meer.aspx
^(.*)postkaart(.*)$,https://www.phoeniximport.com/collections/postkaarten
^(.*)banner(.*)$,https://www.phoeniximport.com/nl/3/textiel/banners-wandkleden-en-strandlakens.aspx
^(.*)wandkleed(.*)$,https://www.phoeniximport.com/nl/3/textiel/banners-wandkleden-en-strandlakens.aspx
^(.*)mountain(.*)$,https://www.phoeniximport.com/nl/3/textiel/the-mountain-t-shirts.aspx
^(.*)pashmina(.*)$,https://www.phoeniximport.com/nl/3/textiel/sjaals-en-pashminas.aspx
^(.*)aromafume(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/aromafume-wierookblokjes.aspx
^(.*)houtskool(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/houtskool-en-houtskoolbranders.aspx
^(.*)nippon(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/nippon-kodo-japanse-wierook.aspx
^(.*)marco(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/marco-polos-treasures-wierook.aspx
^(.*)agarbatti(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/agarbatti-hexagram-wierook.aspx
^(.*)wierookhars(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/wierookharsen-en-wierookkruiden.aspx
^(.*)champa(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/nag-champa-en-satya-wierook.aspx
^(.*)santo(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/palo-santo.aspx
^(.*)kruidenwierook(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/kruidenwierook-zonder-bamboe.aspx
^(.*)wierookhouder(.*)$,https://www.phoeniximport.com/collections/wierookhouders-en-accessoires
^(.*)wierookbrander(.*)$,https://www.phoeniximport.com/collections/wierookhouders-en-accessoires
^(.*)wierookkegel(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/wierookkegels.aspx
^(.*)smudge(.*)$,https://www.phoeniximport.com/nl/3/wierook-witte-salie-en-houtskool/witte-salie-en-smudges.aspx
^(.*)yogamat(.*)$,https://www.phoeniximport.com/nl/3/yoga/yogamatten.aspx
^(.*)bolster(.*)$,https://www.phoeniximport.com/nl/3/yoga/yoga-bolsters.aspx
^(.*)prop(.*)$,https://www.phoeniximport.com/nl/3/yoga/yoga-props-kurk.aspx
^(.*)yogariem(.*)$,https://www.phoeniximport.com/nl/3/yoga/yogariemen-en-yogawiel.aspx
^(.*)yogawiel(.*)$,https://www.phoeniximport.com/nl/3/yoga/yogariemen-en-yogawiel.aspx
^(.*)broek(.*)$,https://www.phoeniximport.com/nl/3/yoga/alle-yogakleding.aspx
^(.*)yogashirt(.*)$,https://www.phoeniximport.com/nl/3/yoga/alle-yogakleding.aspx
^(.*)legging(.*)$,https://www.phoeniximport.com/nl/3/yoga/alle-yogakleding.aspx
^(.*)capri(.*)$,https://www.phoeniximport.com/nl/3/yoga/alle-yogakleding.aspx
^(.*)handdoek(.*)$,https://www.phoeniximport.com/nl/3/yoga/yoga-handdoeken.aspx
