Language,Old URL,Old Slug,Reason
IT,/it/2/it-bedrijfsvideo.aspx,it-bedrijfsvideo,no match
IT,/it/2/it-certificaten.aspx,it-certificaten,no match
IT,/it/2/commercio-allingrosso-di-candele.aspx,commercio-allingrosso-di-candele,no match
IT,/it/2/fornitore-di-candele-allingrosso.aspx,fornitore-di-candele-allingrosso,no match
IT,/it/2/it-witte-kaarsen-groothandel.aspx,it-witte-kaarsen-groothandel,no match
IT,/it/2/it-spirituele-kaarsen.aspx,it-spirituele-kaarsen,no match
IT,/it/1/prodotti.aspx,prodotti,no match
IT,/it/1/newsletter.aspx,newsletter,no match
NL,/nl/2/veelgestelde-vragen-faq.aspx,veelgestelde-vragen-faq,no match
NL,/nl/2/speciale-aanbiedingen.aspx,speciale-aanbiedingen,no match
NL,/nl/2/bestsellers.aspx,bestsellers,no match
NL,/nl/2/maand-aanbieding.aspx,maand-aanbieding,no match
NL,/nl/2/welkom-op-onze-website.aspx,welkom-op-onze-website,no match
NL,/nl/2/voorraadnotificatie-en-web-api.aspx,voorraadnotificatie-en-web-api,no match
NL,/nl/2/bedankt-voor-uw-registratie.aspx,bedankt-voor-uw-registratie,no match
NL,/nl/2/pagina-om-dingen-te-testen.aspx,pagina-om-dingen-te-testen,no match
NL,/nl/2/duurzaam-ondernemen.aspx,duurzaam-ondernemen,no match
NL,/nl/2/404.aspx,404,no match
NL,/nl/2/covid-19-dpd-service-updates.aspx,covid-19-dpd-service-updates,no match
NL,/nl/2/vacatures.aspx,vacatures,no match
NL,/nl/2/bedrijfsvideo.aspx,bedrijfsvideo,no match
NL,/nl/2/certificaten.aspx,certificaten,no match
NL,/nl/2/kaarsen-groothandel.aspx,kaarsen-groothandel,no match
NL,/nl/2/kaarsen-leverancier-in-bulk.aspx,kaarsen-leverancier-in-bulk,no match
NL,/nl/2/witte-kaarsen-groothandel.aspx,witte-kaarsen-groothandel,no match
NL,/nl/2/spirituele-kaarsen.aspx,spirituele-kaarsen,no match
NL,/nl/1/assortiment.aspx,assortiment,no match
NL,/nl/1/inloggen.aspx,inloggen,no match
